Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,App specific
jmeter_login_and_view_dashboard,200,845,828,932,971,1028,741,1171,0.0,False
jmeter_view_page:open_page,7078,251,240,310,340,408,168,1570,0.0,False
jmeter_view_dashboard,1223,788,774,869,906,988,689,1339,0.0,False
jmeter_comment_page,915,68,66,78,83,97,55,251,0.0,False
jmeter_view_attachment,616,194,184,242,266,356,138,1162,0.0,False
jmeter_view_blog,1527,440,423,601,699,1006,213,1747,0.0,False
jmeter_create_and_edit_page:create_page_editor,1064,151,146,165,180,235,128,570,0.0,False
jmeter_create_and_edit_page:create_page,1057,304,295,337,362,425,258,970,0.0,False
jmeter_create_and_edit_page:open_editor,1057,50,48,54,61,104,41,203,0.0,False
jmeter_search_cql:recently_viewed,1369,14,13,17,18,26,5,126,0.0,False
jmeter_search_cql:search_results,1368,445,435,512,541,594,227,976,0.0,False
jmeter_create_and_edit_page:edit_page,1043,346,337,384,403,450,306,587,0.0,False
jmeter_create_blog:blog_editor,452,171,164,186,199,262,147,1015,0.0,False
jmeter_create_blog:feel_and_publish,452,313,308,338,354,395,283,432,0.0,False
jmeter_upload_attachment,748,361,330,458,530,670,260,2546,0.0,False
jmeter_like_page,296,26,20,39,41,60,16,140,0.0,False
selenium_login:open_login_page,387,116,115,119,122,164,106,312,0.0,False
selenium_login:login_and_view_dashboard,387,279,265,317,321,394,230,832,0.0,False
selenium_login,387,467,453,503,514,578,415,1100,0.0,False
selenium_view_page,387,354,325,447,584,699,254,1764,0.0,False
selenium_create_page:open_create_page_editor,387,668,661,728,751,790,519,2032,0.0,False
selenium_create_page:save_created_page,387,599,595,612,622,638,560,1242,0.0,False
selenium_create_page,387,1382,1372,1448,1471,1857,1217,2869,0.0,False
selenium_edit_page:open_create_page_editor,387,1608,1741,2194,2429,2644,914,2756,0.0,False
selenium_edit_page:save_edited_page,387,737,694,855,980,1277,603,1493,0.0,False
selenium_edit_page,387,2366,2656,3027,3282,3499,1584,3816,0.0,False
selenium_create_comment:write_comment,387,620,616,725,750,792,245,2160,0.0,False
selenium_create_comment:save_comment,387,383,594,642,646,652,119,659,0.0,False
selenium_create_comment,387,1300,1274,1627,1670,1816,670,3012,0.0,False
selenium_view_blog,387,699,682,935,1174,1418,328,1453,0.0,False
selenium_view_dashboard,387,229,227,281,300,355,156,499,0.0,False
selenium_log_out,387,106,104,110,114,174,97,332,0.0,False
